	strategy	beta	gamma	epsilon	avg_qual
0	none	0.02	0.02	0.01	0.345
1	hub	0.02	0.02	0.01	0.312
2	none	0.02	0.02	0.001	0.371
3	hub	0.02	0.02	0.001	0.3
4	none	0.02	0.02	0.0001	0.328
5	hub	0.02	0.02	0.0001	0.341
6	none	0.02	0.04	0.01	0.383
7	hub	0.02	0.04	0.01	0.292
8	none	0.02	0.04	0.001	0.33
9	hub	0.02	0.04	0.001	0.235
10	none	0.02	0.04	0.0001	0.386
11	hub	0.02	0.04	0.0001	0.227
12	none	0.02	0.1	0.01	0.332
13	hub	0.02	0.1	0.01	0.197
14	none	0.02	0.1	0.001	0.294
15	hub	0.02	0.1	0.001	0.135
16	none	0.02	0.1	0.0001	0.346
17	hub	0.02	0.1	0.0001	0.15
18	none	0.04	0.02	0.01	0.371
19	hub	0.04	0.02	0.01	0.282
20	none	0.04	0.02	0.001	0.311
21	hub	0.04	0.02	0.001	0.317
22	none	0.04	0.02	0.0001	0.302
23	hub	0.04	0.02	0.0001	0.296
24	none	0.04	0.04	0.01	0.316
25	hub	0.04	0.04	0.01	0.193
26	none	0.04	0.04	0.001	0.304
27	hub	0.04	0.04	0.001	0.188
28	none	0.04	0.04	0.0001	0.31
29	hub	0.04	0.04	0.0001	0.277
30	none	0.04	0.1	0.01	0.287
31	hub	0.04	0.1	0.01	0.144
32	none	0.04	0.1	0.001	0.261
33	hub	0.04	0.1	0.001	0.157
34	none	0.04	0.1	0.0001	0.258
35	hub	0.04	0.1	0.0001	0.196
36	none	0.1	0.02	0.01	0.302
37	hub	0.1	0.02	0.01	0.232
38	none	0.1	0.02	0.001	0.322
39	hub	0.1	0.02	0.001	0.214
40	none	0.1	0.02	0.0001	0.349
41	hub	0.1	0.02	0.0001	0.228
42	none	0.1	0.04	0.01	0.333
43	hub	0.1	0.04	0.01	0.188
44	none	0.1	0.04	0.001	0.295
45	hub	0.1	0.04	0.001	0.21
46	none	0.1	0.04	0.0001	0.33
47	hub	0.1	0.04	0.0001	0.221
48	none	0.1	0.1	0.01	0.221
49	hub	0.1	0.1	0.01	0.157
50	none	0.1	0.1	0.001	0.114
51	hub	0.1	0.1	0.001	0.157
52	none	0.1	0.1	0.0001	0.153
53	hub	0.1	0.1	0.0001	0.159
