	strategy	beta	gamma	epsilon	avg_qual
0	none	0.02	0.02	0.01	0.356
1	hub	0.02	0.02	0.01	0.346
2	none	0.02	0.02	0.001	0.357
3	hub	0.02	0.02	0.001	0.335
4	none	0.02	0.02	0.0001	0.313
5	hub	0.02	0.02	0.0001	0.289
6	none	0.02	0.04	0.01	0.339
7	hub	0.02	0.04	0.01	0.277
8	none	0.02	0.04	0.001	0.303
9	hub	0.02	0.04	0.001	0.198
10	none	0.02	0.04	0.0001	0.318
11	hub	0.02	0.04	0.0001	0.188
12	none	0.02	0.1	0.01	0.239
13	hub	0.02	0.1	0.01	0.289
14	none	0.02	0.1	0.001	0.35
15	hub	0.02	0.1	0.001	0.291
16	none	0.02	0.1	0.0001	0.325
17	hub	0.02	0.1	0.0001	0.144
18	none	0.04	0.02	0.01	0.315
19	hub	0.04	0.02	0.01	0.324
20	none	0.04	0.02	0.001	0.331
21	hub	0.04	0.02	0.001	0.289
22	none	0.04	0.02	0.0001	0.302
23	hub	0.04	0.02	0.0001	0.286
24	none	0.04	0.04	0.01	0.263
25	hub	0.04	0.04	0.01	0.275
26	none	0.04	0.04	0.001	0.235
27	hub	0.04	0.04	0.001	0.186
28	none	0.04	0.04	0.0001	0.257
29	hub	0.04	0.04	0.0001	0.211
30	none	0.04	0.1	0.01	0.271
31	hub	0.04	0.1	0.01	0.186
32	none	0.04	0.1	0.001	0.215
33	none	0.04	0.1	0.0001	0.272
34	hub	0.04	0.1	0.0001	0.162
35	none	0.1	0.02	0.01	0.323
36	hub	0.1	0.02	0.01	0.168
37	none	0.1	0.02	0.001	0.233
38	hub	0.1	0.02	0.001	0.32
39	none	0.1	0.02	0.0001	0.306
40	hub	0.1	0.02	0.0001	0.216
41	none	0.1	0.04	0.01	0.353
42	hub	0.1	0.04	0.01	0.202
43	none	0.1	0.04	0.001	0.261
44	hub	0.1	0.04	0.001	0.174
45	none	0.1	0.04	0.0001	0.253
46	hub	0.1	0.04	0.0001	0.139
47	none	0.1	0.1	0.01	0.212
48	hub	0.1	0.1	0.01	0.108
49	none	0.1	0.1	0.001	0.185
50	hub	0.1	0.1	0.001	0.141
51	none	0.1	0.1	0.0001	0.189
52	hub	0.1	0.1	0.0001	0.149
